DEBUG 2026-01-27 00:21:44,340 autoreload File /Library/Frameworks/Python.framework/Versions/3.12/lib/python3.12/http/__init__.py first seen with mtime 1696254875.0
DEBUG 2026-01-27 00:21:44,340 autoreload File /Users/branko/Desktop/barter_app/.venv/lib/python3.12/site-packages/django/core/checks/urls.py first seen with mtime 1769459622.79371
DEBUG 2026-01-27 00:21:44,340 autoreload File /Users/branko/Desktop/barter_app/.venv/lib/python3.12/site-packages/django/utils/dates.py first seen with mtime 1769459623.062031
DEBUG 2026-01-27 00:21:44,340 autoreload File /Users/branko/Desktop/barter_app/.venv/lib/python3.12/site-packages/allauth/account/forms.py first seen with mtime 1769459714.2655447
DEBUG 2026-01-27 00:21:44,341 autoreload File /Users/branko/Desktop/barter_app/.venv/lib/python3.12/site-packages/django/conf/__init__.py first seen with mtime 1769459619.8505566
DEBUG 2026-01-27 00:21:44,341 autoreload File /Users/branko/Desktop/barter_app/core/admin.py first seen with mtime 1768062268.8951266
DEBUG 2026-01-27 00:21:44,341 autoreload File /Library/Frameworks/Python.framework/Versions/3.12/lib/python3.12/email/__init__.py first seen with mtime 1696254875.0
DEBUG 2026-01-27 00:21:44,341 autoreload File /Users/branko/Desktop/barter_app/.venv/lib/python3.12/site-packages/crispy_forms/layout_slice.py first seen with mtime 1769459626.1969032
DEBUG 2026-01-27 00:21:44,341 autoreload File /Users/branko/Desktop/barter_app/.venv/lib/python3.12/site-packages/django/contrib/sessions/__init__.py first seen with mtime 1769459622.4561677
DEBUG 2026-01-27 00:21:44,341 autoreload File /Users/branko/Desktop/barter_app/.venv/lib/python3.12/site-packages/django/utils/decorators.py first seen with mtime 1769459623.0629995
DEBUG 2026-01-27 00:21:44,342 autoreload File /Library/Frameworks/Python.framework/Versions/3.12/lib/python3.12/lib-dynload/_uuid.cpython-312-darwin.so first seen with mtime 1696255165.0
DEBUG 2026-01-27 00:21:44,342 autoreload File /Users/branko/Desktop/barter_app/.venv/lib/python3.12/site-packages/django/core/mail/utils.py first seen with mtime 1769459622.809644
DEBUG 2026-01-27 00:21:44,342 autoreload File /Users/branko/Desktop/barter_app/.venv/lib/python3.12/site-packages/django/forms/forms.py first seen with mtime 1769459622.9139457
DEBUG 2026-01-27 00:21:44,342 autoreload File /Users/branko/Desktop/barter_app/.venv/lib/python3.12/site-packages/cryptography/hazmat/backends/__init__.py first seen with mtime 1769460278.4469676
DEBUG 2026-01-27 00:21:44,342 autoreload File /Users/branko/Desktop/barter_app/.venv/lib/python3.12/site-packages/django/conf/locale/__init__.py first seen with mtime 1769459619.8546462
DEBUG 2026-01-27 00:21:44,342 autoreload File /Users/branko/Desktop/barter_app/.venv/lib/python3.12/site-packages/django/core/__init__.py first seen with mtime 1769459622.7777145
DEBUG 2026-01-27 00:21:44,343 autoreload File /Library/Frameworks/Python.framework/Versions/3.12/lib/python3.12/stringprep.py first seen with mtime 1696254874.0
DEBUG 2026-01-27 00:21:44,343 autoreload File /Users/branko/Desktop/barter_app/.venv/lib/python3.12/site-packages/crispy_forms/bootstrap.py first seen with mtime 1769459626.1918528
DEBUG 2026-01-27 00:21:44,343 autoreload File /Library/Frameworks/Python.framework/Versions/3.12/lib/python3.12/http/cookies.py first seen with mtime 1696254875.0
DEBUG 2026-01-27 00:21:44,343 autoreload File /Users/branko/Desktop/barter_app/.venv/lib/python3.12/site-packages/django/contrib/staticfiles/management/commands/runserver.py first seen with mtime 1769459622.776099
DEBUG 2026-01-27 00:21:44,343 autoreload File /Library/Frameworks/Python.framework/Versions/3.12/lib/python3.12/re/_compiler.py first seen with mtime 1696254875.0
DEBUG 2026-01-27 00:21:44,343 autoreload File /Library/Frameworks/Python.framework/Versions/3.12/lib/python3.12/re/_parser.py first seen with mtime 1696254875.0
DEBUG 2026-01-27 00:21:44,343 autoreload File /Users/branko/Desktop/barter_app/.venv/lib/python3.12/site-packages/allauth/socialaccount/providers/oauth2/utils.py first seen with mtime 1769459714.579084
DEBUG 2026-01-27 00:21:44,344 autoreload File /Users/branko/Desktop/barter_app/.venv/lib/python3.12/site-packages/django/core/files/images.py first seen with mtime 1769459622.7977726
DEBUG 2026-01-27 00:21:44,344 autoreload File /Users/branko/Desktop/barter_app/.venv/lib/python3.12/site-packages/django/contrib/staticfiles/utils.py first seen with mtime 1769459622.7732494
DEBUG 2026-01-27 00:21:44,344 autoreload File /Users/branko/Desktop/barter_app/.venv/lib/python3.12/site-packages/django/db/models/query_utils.py first seen with mtime 1769459622.8914993
DEBUG 2026-01-27 00:21:44,344 autoreload File /Users/branko/Desktop/barter_app/.venv/lib/python3.12/site-packages/django/contrib/admin/actions.py first seen with mtime 1769459620.068427
DEBUG 2026-01-27 00:21:44,344 autoreload File /Users/branko/Desktop/barter_app/.venv/lib/python3.12/site-packages/django/dispatch/__init__.py first seen with mtime 1769459622.9103491
DEBUG 2026-01-27 00:21:44,344 autoreload File /Users/branko/Desktop/barter_app/.venv/lib/python3.12/site-packages/django/contrib/sites/shortcuts.py first seen with mtime 1769459622.6398928
DEBUG 2026-01-27 00:21:44,345 autoreload File /Library/Frameworks/Python.framework/Versions/3.12/lib/python3.12/asyncio/trsock.py first seen with mtime 1696254874.0
DEBUG 2026-01-27 00:21:44,345 autoreload File /Users/branko/Desktop/barter_app/.venv/lib/python3.12/site-packages/django/contrib/contenttypes/__init__.py first seen with mtime 1769459620.8727891
DEBUG 2026-01-27 00:21:44,345 autoreload File /Users/branko/Desktop/barter_app/.venv/lib/python3.12/site-packages/allauth/core/internal/urlkit.py first seen with mtime 1769459714.2933671
DEBUG 2026-01-27 00:21:44,345 autoreload File /Library/Frameworks/Python.framework/Versions/3.12/lib/python3.12/lib-dynload/_opcode.cpython-312-darwin.so first seen with mtime 1696255163.0
DEBUG 2026-01-27 00:21:44,345 autoreload File /Users/branko/Desktop/barter_app/.venv/lib/python3.12/site-packages/django/core/checks/security/sessions.py first seen with mtime 1769459622.796262
DEBUG 2026-01-27 00:21:44,345 autoreload File /Users/branko/Desktop/barter_app/.venv/lib/python3.12/site-packages/django/core/serializers/python.py first seen with mtime 1769459622.8330815
